date,item,sales,is_weekend,is_holiday,is_festival,promo_active,temperature_celsius,rainfall_mm,day_of_week,day_of_month,month,quarter,week_of_year,day_name,lag_1,lag_7,lag_14,lag_21,lag_28,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30
2022-02-18,Burger,83,0,0,0,0,23.6,0.8,4,18,2,1,7,Friday,68.0,85.0,90.0,104.0,87.0,98.85714285714286,34.14395296109583,152.0,64.0,95.64285714285714,26.406896368641558,152.0,64.0,96.13333333333334,24.67405915941475,152.0,64.0
2022-02-19,Burger,109,1,0,0,0,26.0,0.2,5,19,2,1,7,Saturday,83.0,137.0,121.0,136.0,145.0,98.57142857142857,34.28730155056021,152.0,64.0,95.14285714285714,26.587611756250272,152.0,64.0,96.06666666666666,24.707856259083673,152.0,64.0
2022-02-20,Burger,97,1,0,0,0,23.3,0.6,6,20,2,1,7,Sunday,109.0,152.0,106.0,128.0,112.0,94.57142857142857,30.478720133108965,152.0,64.0,94.28571428571429,25.87374247090181,152.0,64.0,96.76666666666667,24.76883934097136,152.0,64.0
2022-02-21,Burger,81,0,0,0,0,25.2,0.6,0,21,2,1,8,Monday,97.0,105.0,83.0,79.0,78.0,86.71428571428571,17.556710831989466,109.0,64.0,93.64285714285714,25.67131635729812,152.0,64.0,97.1,24.7000628227597,152.0,64.0
2022-02-22,Burger,78,0,0,0,0,24.4,1.4,1,22,2,1,8,Tuesday,81.0,64.0,74.0,74.0,84.0,83.28571428571429,15.628118736370554,109.0,64.0,93.5,25.74056959503658,152.0,64.0,94.96666666666667,23.13451419689717,152.0,64.0
2022-02-23,Burger,73,0,0,0,0,24.9,0.8,2,23,2,1,8,Wednesday,78.0,81.0,72.0,78.0,118.0,85.28571428571429,13.49955907569193,109.0,68.0,93.78571428571429,25.52880295313078,152.0,64.0,93.83333333333333,23.10408731317281,152.0,64.0
2022-02-24,Burger,77,0,0,0,0,25.1,0.1,3,24,2,1,8,Thursday,73.0,68.0,101.0,73.0,76.0,84.14285714285714,14.241120876164379,109.0,68.0,93.85714285714286,25.464476441497062,152.0,64.0,93.66666666666667,23.239878528576444,152.0,64.0
2022-02-25,Burger,87,0,0,0,0,22.8,0.9,4,25,2,1,8,Friday,77.0,83.0,85.0,90.0,104.0,85.42857142857143,12.882250616735496,109.0,73.0,92.14285714285714,25.75284044933276,152.0,64.0,93.43333333333334,23.37502842828193,152.0,64.0
2022-02-26,Burger,97,1,0,0,0,22.3,0.3,5,26,2,1,8,Saturday,87.0,109.0,137.0,121.0,136.0,86.0,12.845232578665172,109.0,73.0,92.28571428571429,25.71568982735446,152.0,64.0,92.4,22.932584858141524,152.0,64.0
2022-02-27,Burger,113,1,0,0,0,23.5,0.2,6,27,2,1,8,Sunday,97.0,97.0,152.0,106.0,128.0,84.28571428571429,9.673232581274458,97.0,73.0,89.42857142857143,22.37001525295815,152.0,64.0,93.1,22.734373185507685,152.0,64.0
2022-02-28,Burger,72,0,0,0,0,24.0,0.3,0,28,2,1,9,Monday,113.0,81.0,105.0,83.0,79.0,86.57142857142857,14.069555108544906,113.0,73.0,86.64285714285714,15.285021037992253,113.0,64.0,93.4,22.94160503058385,152.0,64.0
2022-03-01,Burger,66,0,0,0,0,27.5,0.0,1,1,3,1,9,Tuesday,72.0,78.0,64.0,74.0,74.0,85.28571428571429,15.04121322360987,113.0,72.0,84.28571428571429,14.772263882688312,113.0,64.0,91.26666666666667,21.79043341711557,152.0,64.0
2022-03-02,Burger,87,0,0,0,0,26.9,0.3,2,2,3,1,9,Wednesday,66.0,73.0,81.0,72.0,78.0,83.57142857142857,16.61181449909618,113.0,66.0,84.42857142857143,14.569273704057236,113.0,66.0,89.2,21.11609943082324,152.0,64.0
2022-03-03,Burger,79,0,0,0,0,26.4,0.1,3,3,3,1,9,Thursday,87.0,77.0,68.0,101.0,73.0,85.57142857142857,15.956786882673114,113.0,66.0,84.85714285714286,14.548894448387724,113.0,66.0,89.46666666666667,21.033197624204703,152.0,64.0
2022-03-04,Burger,91,0,0,0,0,26.4,0.2,4,4,3,1,9,Friday,79.0,87.0,83.0,85.0,90.0,85.85714285714286,15.79481530364289,113.0,66.0,85.64285714285714,13.84867193220028,113.0,66.0,89.63333333333334,20.92595045150519,152.0,64.0
2022-03-05,Burger,104,1,0,0,0,27.7,2.5,5,5,3,1,9,Saturday,91.0,97.0,109.0,137.0,121.0,86.42857142857143,15.914952537966158,113.0,66.0,86.21428571428571,13.896200761517271,113.0,66.0,90.06666666666666,20.81102713886829,152.0,64.0
2022-03-06,Burger,113,1,0,0,0,28.2,0.3,6,6,3,1,9,Sunday,104.0,113.0,97.0,152.0,106.0,87.42857142857143,16.88053260274634,113.0,66.0,85.85714285714286,13.317756468813917,113.0,66.0,91.1,20.703739459001284,152.0,64.0
2022-03-07,Burger,69,0,0,0,0,27.7,0.5,0,7,3,1,10,Monday,113.0,72.0,81.0,105.0,83.0,87.42857142857143,16.88053260274634,113.0,66.0,87.0,14.93575987611346,113.0,66.0,91.86666666666666,21.083959147497254,152.0,64.0
2022-03-08,Burger,74,0,0,0,0,25.6,1.8,1,8,3,1,10,Tuesday,69.0,66.0,78.0,64.0,74.0,87.0,17.368553960150738,113.0,66.0,86.14285714285714,15.63456300763018,113.0,66.0,90.13333333333334,20.7409861324655,152.0,64.0
2022-03-09,Burger,66,0,0,0,0,27.7,0.1,2,9,3,1,10,Wednesday,74.0,87.0,73.0,81.0,72.0,88.14285714285714,15.962754267654592,113.0,69.0,85.85714285714286,15.83014234280299,113.0,66.0,89.06666666666666,20.719694667789785,152.0,64.0
2022-03-10,Burger,83,0,0,0,0,24.4,1.8,3,10,3,1,10,Thursday,66.0,79.0,77.0,68.0,101.0,85.14285714285714,18.05019456431218,113.0,66.0,85.35714285714286,16.36885947277812,113.0,66.0,88.5,21.119936650897667,152.0,64.0
2022-03-11,Burger,88,0,0,0,0,25.4,0.2,4,11,3,1,10,Friday,83.0,91.0,87.0,83.0,85.0,85.71428571428571,17.885881636216958,113.0,66.0,85.78571428571429,16.21100562262258,113.0,66.0,88.8,20.970258084676274,152.0,64.0
2022-03-12,Burger,105,1,0,0,0,25.2,1.5,5,12,3,1,10,Saturday,88.0,104.0,97.0,109.0,137.0,85.28571428571429,17.773709852047293,113.0,66.0,85.85714285714286,16.21896868037369,113.0,66.0,89.33333333333333,20.73034313359963,152.0,64.0
2022-03-13,Burger,107,1,0,0,0,28.3,0.2,6,13,3,1,10,Sunday,105.0,113.0,113.0,97.0,152.0,85.42857142857143,17.952317797034326,113.0,66.0,86.42857142857143,16.77321255277763,113.0,66.0,89.46666666666667,20.820635210644085,152.0,64.0
2022-03-14,Burger,77,0,0,0,0,27.9,0.4,0,14,3,1,11,Monday,107.0,69.0,72.0,81.0,105.0,84.57142857142857,16.501082215591662,107.0,66.0,86.0,16.105421925072715,113.0,66.0,90.2,21.04412441547029,152.0,64.0
2022-03-15,Burger,82,0,0,0,0,26.2,0.0,1,15,3,1,11,Tuesday,77.0,74.0,66.0,78.0,64.0,85.71428571428571,15.488859283522562,107.0,66.0,86.35714285714286,15.824067078380846,113.0,66.0,88.2,19.214577799160708,152.0,64.0
2022-03-16,Burger,63,0,0,0,0,27.8,0.2,2,16,3,1,11,Wednesday,82.0,66.0,87.0,73.0,81.0,86.85714285714286,14.758371312903229,107.0,66.0,87.5,14.784347232019439,113.0,66.0,85.86666666666666,14.984436370225366,113.0,64.0
2022-03-17,Burger,158,0,0,1,0,23.9,0.8,3,17,3,1,11,Thursday,63.0,83.0,79.0,77.0,68.0,86.42857142857143,15.490396410433856,107.0,63.0,85.78571428571429,16.173000156616943,113.0,63.0,84.46666666666667,15.09677593654222,113.0,63.0
2022-03-18,Burger,253,0,1,1,0,27.0,0.3,4,18,3,1,11,Friday,158.0,88.0,91.0,87.0,83.0,97.14285714285714,30.948497924932084,158.0,63.0,91.42857142857143,24.997582300676985,158.0,63.0,87.6,19.742480017499798,158.0,63.0
2022-03-19,Burger,116,1,0,0,0,26.4,0.1,5,19,3,1,11,Saturday,253.0,105.0,104.0,97.0,109.0,120.71428571428571,65.9108344298424,253.0,63.0,103.0,49.887565893409054,253.0,63.0,93.33333333333333,36.022343002674035,253.0,63.0
2022-03-20,Burger,112,1,0,0,0,26.4,0.6,6,20,3,1,11,Sunday,116.0,107.0,113.0,113.0,97.0,122.28571428571429,65.60415201726767,253.0,63.0,103.85714285714286,50.00901017717806,253.0,63.0,94.93333333333334,35.92418581452865,253.0,63.0
2022-03-21,Burger,76,0,0,0,0,25.8,0.0,0,21,3,1,12,Monday,112.0,77.0,69.0,72.0,81.0,123.0,65.43699259593157,253.0,63.0,103.78571428571429,49.99565915222975,253.0,63.0,95.9,35.982131580875645,253.0,63.0
2022-03-22,Burger,77,0,0,0,0,28.9,0.0,1,22,3,1,12,Tuesday,76.0,82.0,74.0,66.0,78.0,122.85714285714286,65.5551385512699,253.0,63.0,104.28571428571429,49.6548526893837,253.0,63.0,94.8,36.07214992206592,253.0,63.0
2022-03-23,Burger,72,0,0,0,0,25.8,0.7,2,23,3,1,12,Wednesday,77.0,63.0,66.0,87.0,73.0,122.14285714285714,66.09949210956815,253.0,63.0,104.5,49.520392070027384,253.0,63.0,94.13333333333334,36.21462205483736,253.0,63.0
2022-03-24,Burger,87,0,0,0,0,24.7,0.3,3,24,3,1,12,Thursday,72.0,158.0,83.0,79.0,77.0,123.42857142857143,64.83275186420609,253.0,72.0,104.92857142857143,49.18640257024494,253.0,63.0,93.83333333333333,36.36413858064898,253.0,63.0
2022-03-25,Burger,87,0,0,0,0,27.7,0.4,4,25,3,1,12,Friday,87.0,253.0,88.0,91.0,87.0,113.28571428571429,64.07213197044484,253.0,72.0,105.21428571428571,49.060682317417374,253.0,63.0,94.13333333333334,36.266003205560814,253.0,63.0
2022-03-26,Burger,96,1,0,0,0,25.6,0.0,5,26,3,1,12,Saturday,87.0,116.0,105.0,104.0,97.0,89.57142857142857,17.633841922632325,116.0,72.0,105.14285714285714,49.088393023914826,253.0,63.0,94.6,36.074252925569105,253.0,63.0
2022-03-27,Burger,118,1,0,0,0,26.1,1.1,6,27,3,1,12,Sunday,96.0,112.0,107.0,113.0,113.0,86.71428571428571,13.852969425533507,112.0,72.0,104.5,49.14930158358149,253.0,63.0,95.23333333333333,35.92106608253362,253.0,63.0
2022-03-28,Burger,70,0,0,0,0,26.6,0.4,0,28,3,1,13,Monday,118.0,76.0,77.0,69.0,72.0,87.57142857142857,15.735915849388997,118.0,72.0,105.28571428571429,49.28009205072036,253.0,63.0,96.26666666666667,36.121379029440526,253.0,63.0
2022-03-29,Burger,84,0,0,0,0,25.7,0.2,1,29,3,1,13,Tuesday,70.0,77.0,82.0,74.0,66.0,86.71428571428571,16.6103811486903,118.0,70.0,104.78571428571429,49.62347237939936,253.0,63.0,95.36666666666666,36.437460198909676,253.0,63.0
2022-03-30,Burger,73,0,0,0,0,25.7,0.1,2,30,3,1,13,Wednesday,84.0,72.0,63.0,66.0,87.0,87.71428571428571,16.131896827034925,118.0,70.0,104.92857142857143,49.55566300902185,253.0,63.0,94.4,36.3380678134349,253.0,63.0
2022-03-31,Burger,71,0,0,0,0,27.3,2.0,3,31,3,1,13,Thursday,73.0,87.0,158.0,83.0,79.0,87.85714285714286,15.973191827022593,118.0,70.0,105.64285714285714,48.97347342083364,253.0,70.0,94.43333333333334,36.31726418882512,253.0,63.0
2022-04-01,Burger,74,0,0,0,0,28.6,4.0,4,1,4,2,13,Friday,71.0,87.0,253.0,88.0,91.0,85.57142857142857,17.212951934102367,118.0,70.0,99.42857142857143,47.310292075443115,253.0,70.0,94.6,36.19354105076075,253.0,63.0
2022-04-02,Burger,108,1,0,0,0,27.1,0.3,5,2,4,2,13,Saturday,74.0,96.0,116.0,105.0,104.0,83.71428571428571,17.726762119408587,118.0,70.0,86.64285714285714,17.256468766399195,118.0,70.0,94.16666666666667,36.36508683105108,253.0,63.0
2022-04-03,Burger,99,1,0,0,0,28.3,0.5,6,3,4,2,13,Sunday,108.0,118.0,112.0,107.0,113.0,85.42857142857143,19.59470287992102,118.0,70.0,86.07142857142857,16.31641120851247,118.0,70.0,95.13333333333334,36.33344933019551,253.0,63.0
2022-04-04,Burger,74,0,0,0,0,26.1,0.1,0,4,4,2,14,Monday,99.0,70.0,76.0,77.0,69.0,82.71428571428571,15.140610794749968,108.0,70.0,85.14285714285714,15.047908839422071,118.0,70.0,95.4,36.33142460450874,253.0,63.0
2022-04-05,Burger,68,0,0,0,0,29.0,2.1,1,5,4,2,14,Tuesday,74.0,84.0,77.0,82.0,74.0,83.28571428571429,14.648256844124237,108.0,71.0,85.0,15.150526774289332,118.0,70.0,94.4,36.49903163571367,253.0,63.0
2022-04-06,Burger,74,0,0,0,0,26.8,4.0,2,6,4,2,14,Wednesday,68.0,73.0,72.0,63.0,66.0,81.0,15.726834816114057,108.0,68.0,84.35714285714286,15.697168499480892,118.0,68.0,92.9,36.63270632117961,253.0,63.0
2022-04-07,Burger,83,0,0,0,0,29.4,0.2,3,7,4,2,14,Thursday,74.0,71.0,87.0,158.0,83.0,81.14285714285714,15.646390120712436,108.0,68.0,84.5,15.584755865415785,118.0,68.0,93.06666666666666,36.53145393269725,253.0,63.0
2022-04-08,Burger,89,0,0,0,0,27.6,2.5,4,8,4,2,14,Friday,83.0,74.0,87.0,253.0,88.0,82.85714285714286,14.993649449334468,108.0,68.0,84.21428571428571,15.572058662521384,118.0,68.0,93.36666666666666,36.40621710200279,253.0,63.0
2022-04-09,Burger,111,1,0,0,0,29.4,0.9,5,9,4,2,14,Saturday,89.0,108.0,96.0,116.0,105.0,85.0,14.583095236151712,108.0,68.0,84.35714285714286,15.60871128991322,118.0,68.0,94.13333333333334,36.050475469946235,253.0,63.0
2022-04-10,Burger,111,1,0,0,0,27.0,1.0,6,10,4,2,14,Sunday,111.0,99.0,118.0,112.0,107.0,85.42857142857143,15.393257645878112,111.0,68.0,85.42857142857143,16.928420734711935,118.0,68.0,95.06666666666666,36.11469596117093,253.0,63.0
2022-04-11,Burger,87,0,0,0,0,28.3,0.2,0,11,4,2,15,Monday,111.0,74.0,70.0,76.0,77.0,87.14285714285714,17.65812911408023,111.0,68.0,84.92857142857143,15.968547382104042,111.0,68.0,95.83333333333333,36.20352748419483,253.0,63.0
2022-04-12,Burger,81,0,0,0,0,27.5,2.4,1,12,4,2,15,Tuesday,87.0,68.0,84.0,77.0,82.0,89.0,16.703293088490188,111.0,68.0,86.14285714285714,15.381593109733565,111.0,68.0,95.23333333333333,36.19552585547035,253.0,63.0
2022-04-13,Burger,74,0,0,0,0,27.4,0.4,2,13,4,2,15,Wednesday,81.0,74.0,73.0,72.0,63.0,90.85714285714286,14.565124686828506,111.0,74.0,85.92857142857143,15.43454808944114,111.0,68.0,94.36666666666666,36.21533618113524,253.0,63.0
2022-04-14,Burger,118,0,1,0,0,29.0,2.6,3,14,4,2,15,Thursday,74.0,83.0,71.0,87.0,158.0,90.85714285714286,14.565124686828506,111.0,74.0,86.0,15.372302765288248,111.0,68.0,94.26666666666667,36.26904572994607,253.0,63.0
2022-04-15,Burger,80,0,0,0,0,28.9,1.9,4,15,4,2,15,Friday,118.0,89.0,74.0,87.0,253.0,95.85714285714286,17.189420888331128,118.0,74.0,89.35714285714286,16.900646973765973,118.0,68.0,95.46666666666667,36.44432062403038,253.0,63.0
2022-04-16,Burger,96,1,0,0,0,28.3,0.6,5,16,4,2,15,Saturday,80.0,111.0,108.0,96.0,116.0,94.57142857142857,18.100249932502358,118.0,74.0,89.78571428571429,16.553775174487217,118.0,68.0,96.03333333333333,36.0521493293308,253.0,68.0
2022-04-17,Burger,95,1,0,0,0,28.3,1.1,6,17,4,2,15,Sunday,96.0,111.0,99.0,118.0,112.0,92.42857142857143,16.661904081438337,118.0,74.0,88.92857142857143,15.833092344416167,118.0,68.0,93.96666666666667,34.10175780011158,253.0,68.0
2022-04-18,Burger,67,0,0,0,0,28.7,3.8,0,18,4,2,16,Monday,95.0,87.0,74.0,70.0,76.0,90.14285714285714,14.667748877822428,118.0,74.0,88.64285714285714,15.672647132244917,118.0,68.0,88.7,16.190993665061693,118.0,68.0
2022-04-19,Burger,68,0,0,0,0,29.9,4.1,1,19,4,2,16,Tuesday,67.0,81.0,68.0,84.0,77.0,87.28571428571429,17.124196192466943,118.0,67.0,88.14285714285714,16.275782589513028,118.0,67.0,87.06666666666666,15.809061856467254,118.0,67.0
2022-04-20,Burger,79,0,0,0,0,28.6,0.8,2,20,4,2,16,Wednesday,68.0,74.0,74.0,73.0,72.0,85.42857142857143,18.56391789518182,118.0,67.0,88.14285714285714,16.275782589513028,118.0,67.0,85.6,15.45315501766544,118.0,67.0
2022-04-21,Burger,81,0,0,0,0,29.0,0.6,3,21,4,2,16,Thursday,79.0,118.0,83.0,71.0,87.0,86.14285714285714,18.14229470444302,118.0,67.0,88.5,15.993989255582514,118.0,67.0,85.7,15.398499703005058,118.0,67.0
2022-04-22,Burger,89,0,0,0,0,27.7,0.9,4,22,4,2,16,Friday,81.0,80.0,89.0,74.0,87.0,80.85714285714286,11.480832888319917,96.0,67.0,88.35714285714286,16.055706595653486,118.0,67.0,85.83333333333333,15.337767974408147,118.0,67.0
2022-04-23,Burger,122,1,0,0,0,27.7,1.3,5,23,4,2,16,Saturday,89.0,96.0,111.0,108.0,96.0,82.14285714285714,11.866318882009205,96.0,67.0,88.35714285714286,16.055706595653486,118.0,67.0,86.4,15.1215762725159,118.0,67.0
2022-04-24,Burger,103,1,0,0,0,27.8,8.7,6,24,4,2,16,Sunday,122.0,95.0,111.0,99.0,118.0,85.85714285714286,18.90704076465153,122.0,67.0,89.14285714285714,17.45701156404639,122.0,67.0,87.56666666666666,16.460366890228123,122.0,67.0
2022-04-25,Burger,80,0,0,0,0,28.2,0.3,0,25,4,2,17,Monday,103.0,67.0,87.0,74.0,70.0,87.0,19.773719933285292,122.0,67.0,88.57142857142857,16.805284359914264,122.0,67.0,88.1,16.69885397678325,122.0,67.0
2022-04-26,Burger,90,0,0,0,0,24.8,0.9,1,26,4,2,17,Tuesday,80.0,68.0,81.0,68.0,84.0,88.85714285714286,18.123912118419536,122.0,68.0,88.07142857142857,16.959065130775535,122.0,67.0,87.56666666666666,16.69334646174795,122.0,67.0
2022-04-27,Burger,72,0,0,0,0,26.3,1.5,2,27,4,2,17,Wednesday,90.0,79.0,74.0,74.0,73.0,92.0,15.641824275533551,122.0,79.0,88.71428571428571,16.840558055016828,122.0,67.0,86.63333333333334,15.685449733218745,122.0,67.0
2022-04-28,Burger,84,0,0,0,0,27.1,1.6,3,28,4,2,17,Thursday,72.0,81.0,118.0,83.0,71.0,91.0,16.79285562374679,122.0,72.0,88.57142857142857,16.9828614319725,122.0,67.0,86.7,15.616414882843697,122.0,67.0
2022-04-29,Burger,101,0,0,0,0,26.5,0.2,4,29,4,2,17,Friday,84.0,89.0,80.0,89.0,74.0,91.42857142857143,16.531355488456427,122.0,72.0,86.14285714285714,14.732784701302785,122.0,67.0,86.7,15.616414882843697,122.0,67.0
2022-04-30,Burger,104,1,0,0,0,28.3,0.8,5,30,4,2,17,Saturday,101.0,122.0,96.0,111.0,108.0,93.14285714285714,16.856537519397662,122.0,72.0,87.64285714285714,15.123121080279287,122.0,67.0,87.63333333333334,15.606106968512117,122.0,67.0
2022-05-01,Burger,120,1,0,0,1,27.9,1.9,6,1,5,2,17,Sunday,104.0,103.0,95.0,111.0,99.0,90.57142857142857,12.541360144965076,104.0,72.0,88.21428571428571,15.60659905507701,122.0,67.0,88.73333333333333,15.556201409690269,122.0,67.0
2022-05-02,Burger,164,0,0,1,1,25.4,1.1,0,2,5,2,18,Monday,120.0,80.0,67.0,87.0,74.0,93.0,16.401219466856848,120.0,72.0,90.0,17.728725061540356,122.0,67.0,90.26666666666667,16.303021368664325,122.0,67.0
2022-05-03,Burger,164,0,0,1,1,27.8,5.0,1,3,5,2,18,Tuesday,164.0,90.0,68.0,81.0,68.0,105.0,30.21588985947631,164.0,72.0,96.92857142857143,25.3603697064603,164.0,68.0,92.13333333333334,20.947773041597962,164.0,67.0
2022-05-04,Burger,111,0,0,0,1,29.1,0.1,2,4,5,2,18,Wednesday,164.0,72.0,79.0,74.0,74.0,115.57142857142857,36.404473822398764,164.0,72.0,103.78571428571429,29.566557437099732,164.0,72.0,94.3,24.706762999855613,164.0,67.0
2022-05-05,Burger,74,0,0,0,1,27.7,14.6,3,5,5,2,18,Thursday,111.0,84.0,81.0,118.0,83.0,121.14285714285714,31.243284992824606,164.0,84.0,106.07142857142857,28.728073339543624,164.0,72.0,95.53333333333333,24.58164907536449,164.0,67.0
2022-05-06,Burger,126,0,0,0,1,28.2,2.8,4,6,5,2,18,Friday,74.0,101.0,89.0,80.0,89.0,119.71428571428571,33.38020514074318,164.0,74.0,105.57142857142857,29.254097111382485,164.0,72.0,95.73333333333333,24.373435699878094,164.0,67.0
2022-05-07,Burger,169,1,0,0,1,29.5,0.7,5,7,5,2,18,Saturday,126.0,104.0,122.0,96.0,111.0,123.28571428571429,32.366208127790166,164.0,74.0,108.21428571428571,29.313106995988015,164.0,72.0,97.46666666666667,24.622296222415326,164.0,67.0
2022-05-08,Burger,122,1,0,0,0,24.7,0.2,6,8,5,2,18,Sunday,169.0,120.0,103.0,95.0,111.0,132.57142857142858,35.11816786630127,169.0,74.0,111.57142857142857,33.4174396793841,169.0,72.0,100.33333333333333,27.694557330766763,169.0,67.0
2022-05-09,Burger,72,0,0,0,0,26.8,1.2,0,9,5,2,19,Monday,122.0,164.0,80.0,67.0,87.0,132.85714285714286,35.006802060116705,169.0,74.0,112.92857142857143,33.42837184123756,169.0,72.0,101.43333333333334,27.88360454279273,169.0,67.0
2022-05-10,Burger,84,0,0,0,0,25.4,2.3,1,10,5,2,19,Tuesday,72.0,164.0,90.0,68.0,81.0,119.71428571428571,38.46519762813432,169.0,72.0,112.35714285714286,34.09625998632321,169.0,72.0,100.13333333333334,28.32780202938612,169.0,67.0
2022-05-11,Burger,81,0,0,0,0,26.8,2.4,2,11,5,2,19,Wednesday,84.0,111.0,72.0,79.0,74.0,108.28571428571429,34.826782250227545,169.0,72.0,111.92857142857143,34.43492030285153,169.0,72.0,99.23333333333333,28.39946980240074,169.0,67.0
